[[ 0, 63, 54, 73, 32,  0, 39, 73,  0,  0]
 [63,  0, 38, 42, 17,  0, 39, 46,  0,  0]
 [54, 38,  0, 49, 15,  0, 28, 52,  0,  0]
 [73, 42, 49,  0, 13,  0, 26, 58,  0,  0]
 [32, 17, 15, 13,  0,  0, 18, 17,  0,  0]
 [ 0,  0,  0,  0,  0,  0,  0,  0,  0,  0]
 [39, 39, 28, 26, 18,  0,  0, 31,  0,  0]
 [73, 46, 52, 58, 17,  0, 31,  0,  0,  0]
 [ 0,  0,  0,  0,  0,  0,  0,  0,  0,  0]
 [ 0,  0,  0,  0,  0,  0,  0,  0,  0,  0]]

[[ 0, 47, 45, 52, 18,  0, 37, 55,  0,  0]
 [47,  0, 42, 38, 13,  0, 34, 43,  0,  0]
 [45, 42,  0, 35, 11,  0, 33, 41,  0,  0]
 [52, 38, 35,  0, 15,  0, 31, 48,  0,  0]
 [18, 13, 11, 15,  0,  0, 12, 15,  0,  0]
 [ 0,  0,  0,  0,  0,  0,  0,  0,  0,  0]
 [37, 34, 33, 31, 12,  0,  0, 35,  0,  0]
 [55, 43, 41, 48, 15,  0, 35,  0,  0,  0]
 [ 0,  0,  0,  0,  0,  0,  0,  0,  0,  0]
 [ 0,  0,  0,  0,  0,  0,  0,  0,  0,  0]]

[[ 0, 43, 45, 44, 17,  0, 32, 49,  4,  0]
 [43,  0, 40, 39, 12,  0, 32, 43,  4,  0]
 [45, 40,  0, 42, 12,  0, 29, 43,  4,  0]
 [44, 39, 42,  0, 13,  0, 28, 42,  4,  0]
 [17, 12, 12, 13,  0,  0, 12, 12,  0,  0]
 [ 0,  0,  0,  0,  0,  0,  0,  0,  0,  0]
 [32, 32, 29, 28, 12,  0,  0, 30,  2,  0]
 [49, 43, 43, 42, 12,  0, 30,  0,  4,  0]
 [ 4,  4,  4,  4,  0,  0,  2,  4,  0,  0]
 [ 0,  0,  0,  0,  0,  0,  0,  0,  0,  0]]

[[ 0, 44, 43, 43, 16,  0, 28, 46, 50,  0]
 [44,  0, 32, 30, 12,  0, 31, 37, 37,  0]
 [43, 32,  0, 32, 12,  0, 26, 38, 32,  0]
 [43, 30, 32,  0, 11,  0, 28, 35, 45,  0]
 [16, 12, 12, 11,  0,  0,  7, 10, 10,  0]
 [ 0,  0,  0,  0,  0,  0,  0,  0,  0,  0]
 [28, 31, 26, 28,  7,  0,  0, 31, 27,  0]
 [46, 37, 38, 35, 10,  0, 31,  0, 41,  0]
 [50, 37, 32, 45, 10,  0, 27, 41,  0,  0]
 [ 0,  0,  0,  0,  0,  0,  0,  0,  0,  0]]

[[ 0, 48, 47, 57, 20,  0, 25, 46, 40,  0]
 [48,  0, 35, 40, 15,  0, 24, 32, 30,  0]
 [47, 35,  0, 41, 16,  0, 22, 34, 34,  0]
 [57, 40, 41,  0, 13,  0, 21, 36, 40,  0]
 [20, 15, 16, 13,  0,  0, 12, 12,  9,  0]
 [ 0,  0,  0,  0,  0,  0,  0,  0,  0,  0]
 [25, 24, 22, 21, 12,  0,  0, 19, 22,  0]
 [46, 32, 34, 36, 12,  0, 19,  0, 33,  0]
 [40, 30, 34, 40,  9,  0, 22, 33,  0,  0]
 [ 0,  0,  0,  0,  0,  0,  0,  0,  0,  0]]

[[ 0, 37, 43, 41, 27,  0, 28, 47, 38,  5]
 [37,  0, 36, 33, 18,  0, 28, 40, 31,  4]
 [43, 36,  0, 34, 19,  0, 30, 37, 38,  4]
 [41, 33, 34,  0, 12,  0, 26, 35, 35,  0]
 [27, 18, 19, 12,  0,  0, 14, 23, 14,  4]
 [ 0,  0,  0,  0,  0,  0,  0,  0,  0,  0]
 [28, 28, 30, 26, 14,  0,  0, 26, 27,  4]
 [47, 40, 37, 35, 23,  0, 26,  0, 34,  4]
 [38, 31, 38, 35, 14,  0, 27, 34,  0,  4]
 [ 5,  4,  4,  0,  4,  0,  4,  4,  4,  0]]

[[ 0, 35, 41,  0, 10,  0, 26, 33, 30, 42]
 [35,  0, 32,  0,  7,  0, 19, 35, 24, 32]
 [41, 32,  0,  0,  8,  0, 26, 32, 28, 44]
 [ 0,  0,  0,  0,  0,  0,  0,  0,  0,  0]
 [10,  7,  8,  0,  0,  0,  5,  6,  7,  9]
 [ 0,  0,  0,  0,  0,  0,  0,  0,  0,  0]
 [26, 19, 26,  0,  5,  0,  0, 22, 17, 25]
 [33, 35, 32,  0,  6,  0, 22,  0, 25, 30]
 [30, 24, 28,  0,  7,  0, 17, 25,  0, 30]
 [42, 32, 44,  0,  9,  0, 25, 30, 30,  0]]
